NU_ANO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_ESCOLA,NU_NOTA_REDACAO,TP_ST_CONCLUSAO
2019,452.6,409.4,518.5,515.5,2,600,2
2019,453.4,454.2,532.4,422.7,1,680,1
2019,501.7,461.2,457.4,661.3,3,660,2
2019,426.6,496.5,503.0,482.8,1,460,3
2019,343.1,464.7,533.8,515.9,1,340,1
2019,530.5,413.0,478.7,444.8,1,360,1
2019,456.0,548.4,602.9,502.3,1,720,1
2019,455.4,545.7,549.3,550.9,2,720,2
2019,370.4,351.4,386.3,422.9,1,600,1
2019,510.9,498.1,541.9,508.7,1,760,1
2019,591.8,573.8,591.4,569.7,2,760,2
2019,521.7,501.2,561.2,448.2,1,400,1
2019,460.1,593.5,543.9,465.4,1,0,1
2019,419.0,402.7,519.3,408.9,1,0,1
2019,344.2,502.8,503.1,439.8,1,740,1
2019,432.4,487.9,430.8,396.8,1,0,1
2019,409.5,378.5,418.3,407.2,1,520,1
2019,557.4,557.3,540.1,597.8,2,840,2
2019,596.3,506.5,502.2,652.3,1,600,3
2019,474.4,391.0,467.6,438.5,1,580,1
2019,457.7,383.7,522.7,568.9,1,620,1
2019,369.2,408.9,458.0,481.4,2,360,2
2019,538.9,612.7,579.8,609.0,1,560,1
2019,448.2,601.2,578.9,592.7,2,620,2
2019,366.7,392.0,444.2,393.5,2,340,2
2019,523.5,606.0,583.7,574.3,1,540,1
2019,478.3,492.8,544.9,501.7,2,660,2
2019,574.5,612.4,554.1,600.8,1,780,3
2019,591.4,556.5,556.9,665.1,1,700,1
2019,344.9,361.4,401.8,435.7,2,280,2
2019,594.6,587.6,579.4,504.7,2,680,2
2019,356.5,479.3,483.2,409.8,1,0,1
2019,537.3,622.5,564.7,562.1,1,640,1
2019,546.4,588.7,587.7,707.1,2,800,2
2019,566.2,579.0,377.0,602.3,1,780,1
2019,389.3,431.0,501.4,432.6,2,460,2
2019,346.8,488.1,502.7,505.6,1,520,3
2019,577.2,643.7,580.7,613.3,1,620,1
2019,355.1,436.6,423.0,382.2,2,260,2
2019,433.0,449.0,550.3,631.2,1,460,1
2019,357.7,429.3,461.2,386.3,2,520,2
2019,502.9,375.2,464.4,567.1,1,400,1
2019,517.1,527.2,523.0,513.5,1,560,1
2019,416.2,491.8,538.0,433.3,1,420,1
2019,559.5,572.8,574.2,691.6,1,640,3
2019,542.3,652.5,622.4,629.5,1,440,1
2019,554.0,428.6,538.5,422.1,2,640,2
2019,467.0,431.6,424.2,389.1,2,320,2
2019,428.5,529.7,515.7,437.4,1,460,1
2019,510.7,506.9,498.0,504.0,1,400,1
2019,522.7,450.0,438.5,564.2,1,520,3
2019,378.2,385.3,449.4,435.3,2,400,2
2019,538.1,588.7,559.9,604.9,1,520,3
2019,417.1,528.0,555.7,591.3,1,620,1
2019,395.4,453.6,487.9,633.5,1,640,1
2019,558.7,660.4,621.9,699.5,1,740,1
2019,410.1,396.4,450.0,465.0,1,0,3
2019,387.5,472.1,369.2,365.8,1,360,1
2019,472.9,516.9,544.6,523.7,2,760,2
2019,567.4,616.2,597.2,692.0,2,860,2
2019,430.6,457.1,462.0,400.5,1,380,1
2019,453.4,595.9,512.7,646.7,1,680,1
2019,499.4,618.5,599.6,463.5,2,800,2
2019,409.3,450.8,403.3,460.4,1,480,1
2019,379.2,410.6,539.2,405.6,1,540,1
2019,537.6,547.5,531.3,481.6,1,480,3
2019,704.5,685.7,688.3,893.2,3,880,2
2019,503.5,609.5,535.4,648.6,3,720,2
2019,627.4,653.0,631.5,788.1,3,960,2
2019,441.0,523.4,553.4,621.0,1,600,1
2019,394.3,479.6,442.8,394.0,2,520,2
2019,488.7,485.0,538.7,424.0,2,560,2
2019,625.6,684.6,610.8,770.3,1,940,3
2019,542.2,559.6,579.1,543.3,2,720,2
2019,451.0,493.4,499.2,519.8,2,580,2
2019,628.7,621.0,630.4,784.2,1,920,1
2019,481.9,435.3,503.8,429.0,2,580,2
2019,377.5,529.7,478.2,393.8,2,520,2
2019,353.6,366.9,342.3,407.5,1,260,1
2019,554.6,554.5,459.4,642.3,1,280,1
2019,453.4,449.0,516.4,503.8,3,300,2
2019,454.6,400.7,430.6,433.3,2,480,2
2019,405.1,454.9,443.0,444.5,1,400,1
2019,464.6,478.5,456.5,419.6,1,500,1
2019,548.3,601.5,601.4,631.9,1,780,1
2019,481.1,547.6,518.6,432.5,1,600,3
2019,511.9,542.0,548.7,444.3,1,560,1
2019,504.8,376.1,458.0,372.6,2,400,2
2019,628.8,592.3,586.9,686.9,3,920,2
2019,492.0,536.0,512.9,560.4,1,520,1
2019,369.1,358.4,353.4,541.8,1,560,3
2019,410.4,452.4,409.1,452.8,2,520,2
2019,471.0,597.0,543.0,628.9,2,940,2
2019,388.6,489.0,438.5,456.6,2,520,2
2019,494.6,527.6,453.7,458.1,2,460,2
2019,412.4,445.4,495.5,377.4,1,740,3
2019,509.3,621.7,567.0,561.2,1,560,1
2019,556.0,659.1,629.2,513.3,1,740,3
2019,371.4,420.2,466.2,467.2,1,580,3
2019,550.8,562.6,571.9,600.4,1,700,1
2019,721.3,733.3,634.9,816.3,1,960,1
2019,341.9,547.1,471.7,428.5,1,580,1
2019,443.3,440.4,471.2,494.0,2,580,2
2019,540.2,563.0,607.9,592.4,2,680,2
2019,390.6,406.0,515.7,403.1,1,560,1
2019,406.3,388.6,454.7,394.5,2,660,2
2019,539.6,568.8,537.4,520.9,1,560,1
2019,361.5,477.0,427.5,427.1,1,520,1
2019,493.1,449.0,523.1,444.1,2,520,2
2019,446.0,438.0,501.4,419.1,1,380,1
2019,413.1,487.0,422.8,422.7,1,580,1
2019,501.6,511.1,556.3,651.0,2,620,2
2019,608.3,605.0,619.5,647.7,1,640,1
2019,486.9,482.3,509.5,494.3,1,640,3
2019,492.7,412.4,494.2,607.9,1,580,1
2019,455.7,498.4,479.1,448.3,1,500,1
2019,454.0,467.3,497.0,463.1,1,520,1
2019,543.4,550.7,538.7,571.7,2,840,2
2019,459.8,508.4,516.3,432.4,1,440,1
2019,571.1,626.6,643.6,736.4,1,960,3
2019,514.6,347.6,471.1,490.8,1,600,1
2019,635.9,706.5,665.1,640.4,1,600,1
2019,556.0,555.1,549.1,588.0,1,580,3
2019,598.3,600.7,556.6,602.0,1,800,1
2019,477.9,484.3,479.2,548.3,1,560,1
2019,423.5,366.1,410.2,385.6,1,560,3
2019,490.5,582.8,565.6,610.7,2,600,2
2019,418.5,523.9,514.5,411.7,2,580,2
2019,440.2,501.6,522.7,526.3,2,640,2
2019,540.4,596.2,595.5,548.9,1,420,1
2019,495.0,554.1,561.9,549.8,1,600,1
2019,391.4,508.9,525.5,493.2,2,480,2
2019,401.5,522.4,542.1,434.5,2,560,2
2019,341.0,380.3,472.1,397.2,1,520,1
2019,441.1,473.8,483.9,431.8,2,360,2
2019,493.5,534.6,564.9,536.7,3,820,2
2019,381.5,540.9,475.2,469.0,1,0,1
2019,453.4,478.8,405.3,440.6,1,680,1
2019,545.2,494.6,489.5,427.6,2,560,2
2019,388.0,528.7,508.0,428.2,1,580,1
2019,597.7,634.7,511.9,632.4,1,960,1
2019,379.1,420.5,459.9,414.2,1,320,3
2019,350.7,423.3,445.7,369.6,1,460,1
2019,362.3,349.4,406.9,464.8,1,480,1
2019,580.4,577.1,544.5,705.1,2,780,2
2019,388.9,446.8,424.5,464.7,1,340,1
2019,580.0,549.6,561.1,683.8,2,400,2
2019,449.2,470.0,556.6,519.0,1,520,3
2019,420.7,405.0,417.4,420.9,2,520,2
2019,516.9,586.8,579.5,556.2,1,800,3
2019,342.7,423.7,502.3,471.8,1,540,1
2019,602.3,597.5,597.7,665.4,3,900,2
2019,387.2,469.3,494.6,435.2,1,560,1
2019,423.5,508.5,421.8,494.4,1,520,1
2019,391.7,398.3,501.4,380.6,2,240,2
2019,378.0,464.4,485.4,469.2,1,520,3
2019,578.7,576.5,580.4,737.2,2,900,2
2019,418.6,373.9,411.3,495.4,1,340,1
2019,364.3,363.3,488.4,359.5,1,600,1
2019,354.3,466.3,451.4,659.0,1,280,1
2019,428.7,487.5,540.9,447.7,2,600,2
2019,613.1,596.4,587.1,697.2,3,660,2
2019,465.9,429.9,481.3,551.6,2,360,2
2019,492.5,581.2,558.4,523.7,2,720,2
2019,471.2,527.3,504.5,422.3,1,600,1
2019,405.2,496.0,514.4,507.6,1,580,1
2019,347.8,423.7,451.1,423.8,1,0,1
2019,596.8,625.8,601.3,562.9,1,560,1
2019,353.8,424.7,496.4,365.1,2,480,2
2019,356.2,481.1,436.3,390.8,1,260,1
2019,420.2,424.5,474.8,563.0,1,480,1
2019,427.7,500.1,468.1,565.6,1,580,1
2019,430.3,434.7,510.5,440.5,1,440,1
2019,419.5,338.7,398.0,429.5,2,440,2
2019,489.8,530.4,552.8,479.5,1,540,1
2019,470.0,454.7,417.7,467.5,1,280,3
2019,375.7,488.0,513.4,436.2,1,460,1
2019,527.0,593.1,567.3,498.3,1,720,1
2019,424.6,452.3,442.5,393.6,2,520,2
2019,431.3,430.4,460.8,495.3,2,0,2
2019,376.8,490.0,528.4,420.1,2,0,2
2019,488.3,374.2,450.8,553.5,1,560,1
2019,455.0,477.9,567.4,458.3,1,520,1
2019,425.2,486.2,533.3,442.2,1,560,1
2019,389.0,388.6,390.4,423.0,1,560,3
2019,477.8,514.9,480.4,428.3,1,580,3
2019,396.1,401.4,452.2,415.3,1,580,3
2019,542.2,512.0,521.9,539.0,1,360,1
2019,476.0,551.5,559.8,582.4,2,640,2
2019,462.4,494.1,516.8,426.7,2,600,2
